instruction,input,output
"Respond as MEG from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. I've heard about enough of this nonsense. Meg, personal matters are not to be dealt with at school. I am still suspending you for the next two days.","Well what about Connie? She fought too!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. I've heard about enough of this nonsense. Meg, personal matters are not to be dealt with at school. I am still suspending you for the next two days.","Well what about Connie? She fought too!"
"Respond as CONNIE from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Well what about Connie? She fought too!","I was defending myself!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Well what about Connie? She fought too!","I was defending myself!"
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. I was defending myself!","She'll get detention for the next week. All of you are dismissed."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. I was defending myself!","She'll get detention for the next week. All of you are dismissed."
"Respond as LOIS from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. She'll get detention for the next week. All of you are dismissed.","Meg, you and I are gonna have a serious conversation about all of this on the way home!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. She'll get detention for the next week. All of you are dismissed.","Meg, you and I are gonna have a serious conversation about all of this on the way home!"
"Describe what happens next in ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Meg, you and I are gonna have a serious conversation about all of this on the way home!","Meg, Peter, and Lois exit the room. Principal Shepherd looks at Connie."
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","Meg, Peter, and Lois exit the room. Principal Shepherd looks at Connie. Meg, you and I are gonna have a serious conversation about all of this on the way home!","So, Connie, you lookin' for a way to get out of that detention...?"
"Continue the conversation in the style of ""Family Guy"".","Meg, Peter, and Lois exit the room. Principal Shepherd looks at Connie. Meg, you and I are gonna have a serious conversation about all of this on the way home!","So, Connie, you lookin' for a way to get out of that detention...?"
"Describe what happens next in ""Family Guy"".","Meg, Peter, and Lois exit the room. Principal Shepherd looks at Connie. So, Connie, you lookin' for a way to get out of that detention...?","Principal Shepherd licks his lips and winks. Connie stares blankly."
"Describe what happens next in ""Family Guy"".","Principal Shepherd licks his lips and winks. Connie stares blankly. So, Connie, you lookin' for a way to get out of that detention...?","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room."
"Respond as BRIAN from ""Family Guy"" would.","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. So, Connie, you lookin' for a way to get out of that detention...?","Stewie, what the hell are you doing?"
"Continue the conversation in the style of ""Family Guy"".","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. So, Connie, you lookin' for a way to get out of that detention...?","Stewie, what the hell are you doing?"
"Respond as STEWIE from ""Family Guy"" would.","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Stewie, what the hell are you doing?","Waiting, Brian. I might suggest you climb to higher ground if you want stay alive."
"Continue the conversation in the style of ""Family Guy"".","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Stewie, what the hell are you doing?","Waiting, Brian. I might suggest you climb to higher ground if you want stay alive."
"Respond as BRIAN from ""Family Guy"" would.","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Waiting, Brian. I might suggest you climb to higher ground if you want stay alive.","Are you scared that there's gonna be another earthquake?"
"Continue the conversation in the style of ""Family Guy"".","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Waiting, Brian. I might suggest you climb to higher ground if you want stay alive.","Are you scared that there's gonna be another earthquake?"
"Respond as STEWIE from ""Family Guy"" would.","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Are you scared that there's gonna be another earthquake?,Not at all. I'm prepared! That's what I am!"
"Continue the conversation in the style of ""Family Guy"".","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Are you scared that there's gonna be another earthquake?,Not at all. I'm prepared! That's what I am!"
"Respond as BRIAN from ""Family Guy"" would.",Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Not at all. I'm prepared! That's what I am!,"Stewie, you're two feet off of the ground. That's not gonna protect you if another earthquake does come."
"Continue the conversation in the style of ""Family Guy"".",Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Not at all. I'm prepared! That's what I am!,"Stewie, you're two feet off of the ground. That's not gonna protect you if another earthquake does come."
"Respond as STEWIE from ""Family Guy"" would.","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Stewie, you're two feet off of the ground. That's not gonna protect you if another earthquake does come.","(gasps) You're right! I must find another method of staying off of the floor!"
"Continue the conversation in the style of ""Family Guy"".","Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. Stewie, you're two feet off of the ground. That's not gonna protect you if another earthquake does come.","(gasps) You're right! I must find another method of staying off of the floor!"
"Describe what happens next in ""Family Guy"".",Stewie is standing on the couch with a laser gun pointed at the floor. Brian enters the room. (gasps) You're right! I must find another method of staying off of the floor!,"Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house."
"Respond as LOIS from ""Family Guy"" would.","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. (gasps) You're right! I must find another method of staying off of the floor!","(to Meg) Now go to your room and don't come out until we say!"
"Continue the conversation in the style of ""Family Guy"".","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. (gasps) You're right! I must find another method of staying off of the floor!","(to Meg) Now go to your room and don't come out until we say!"
"Respond as BRIAN from ""Family Guy"" would.","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. (to Meg) Now go to your room and don't come out until we say!","What's going on?"
"Continue the conversation in the style of ""Family Guy"".","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. (to Meg) Now go to your room and don't come out until we say!","What's going on?"
"Respond as LOIS from ""Family Guy"" would.","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. What's going on?","Meg got in a fight with Chris's girlfriend. Oh, I can only imagine how Connie must be feeling right now."
"Continue the conversation in the style of ""Family Guy"".","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. What's going on?","Meg got in a fight with Chris's girlfriend. Oh, I can only imagine how Connie must be feeling right now."
"Describe what happens next in ""Family Guy"".","Stewie grabs two stilts and motions towards the stairs. He climbs up them, disappearing on the second floor. Peter, Meg, and Lois enter the house. Meg got in a fight with Chris's girlfriend. Oh, I can only imagine how Connie must be feeling right now.","The camera adjusts on the outside of the office door. From inside, we can hear Connie moaning."
"Respond as PRINCIPAL SHEPHERD (O.S.) from ""Family Guy"" would.","The camera adjusts on the outside of the office door. From inside, we can hear Connie moaning. Meg got in a fight with Chris's girlfriend. Oh, I can only imagine how Connie must be feeling right now.","Almost! Almost! A little more!"
"Continue the conversation in the style of ""Family Guy"".","The camera adjusts on the outside of the office door. From inside, we can hear Connie moaning. Meg got in a fight with Chris's girlfriend. Oh, I can only imagine how Connie must be feeling right now.","Almost! Almost! A little more!"
"Respond as CONNIE (O.S.) from ""Family Guy"" would.","The camera adjusts on the outside of the office door. From inside, we can hear Connie moaning. Almost! Almost! A little more!","YES!"
"Continue the conversation in the style of ""Family Guy"".","The camera adjusts on the outside of the office door. From inside, we can hear Connie moaning. Almost! Almost! A little more!","YES!"
"Describe what happens next in ""Family Guy"".","The camera adjusts on the outside of the office door. From inside, we can hear Connie moaning. YES!","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle."
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. YES!","Got it!"
"Continue the conversation in the style of ""Family Guy"".","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. YES!","Got it!"
"Respond as CONNIE from ""Family Guy"" would.","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. Got it!","You sure are good at this."
"Continue the conversation in the style of ""Family Guy"".","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. Got it!","You sure are good at this."
"Respond as STEWIE from ""Family Guy"" would.","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. You sure are good at this.","At last! My flying device is now completed!"
"Describe what happens next in ""Family Guy"".","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. You sure are good at this.","Stewie is making a flying machine which looks strikingly similar to a high-tech flying saucer."
"Continue the conversation in the style of ""Family Guy"".","Connie and Principal Shepherd are playing TWISTER, and Principal Shepherd is reaching his hand towards the blue circle. You sure are good at this.","At last! My flying device is now completed!"
"Respond as STEWIE from ""Family Guy"" would.","Stewie is making a flying machine which looks strikingly similar to a high-tech flying saucer. At last! My flying device is now completed!,No floor will get me up here!"
"Describe what happens next in ""Family Guy"".","Stewie is making a flying machine which looks strikingly similar to a high-tech flying saucer. At last! My flying device is now completed!,Stewie steps inside the flying device and activates the controls. The machine lifts up from the ground."
"Continue the conversation in the style of ""Family Guy"".","Stewie is making a flying machine which looks strikingly similar to a high-tech flying saucer. At last! My flying device is now completed!,No floor will get me up here!"
"Respond as STEWIE from ""Family Guy"" would.","Stewie steps inside the flying device and activates the controls. The machine lifts up from the ground. No floor will get me up here!,nan"
"Describe what happens next in ""Family Guy"".",Stewie steps inside the flying device and activates the controls. The machine lifts up from the ground. No floor will get me up here!,"He remains in the air, bobbing up and down with the machine. He becomes excited with the vibration. He unzips his overalls."
"Respond as CHRIS from ""Family Guy"" would.","He remains in the air, bobbing up and down with the machine. He becomes excited with the vibration. He unzips his overalls. No floor will get me up here!","Hey Meg, can I use your phone?"
"Describe what happens next in ""Family Guy"".","He remains in the air, bobbing up and down with the machine. He becomes excited with the vibration. He unzips his overalls. No floor will get me up here!","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out."
"Continue the conversation in the style of ""Family Guy"".","He remains in the air, bobbing up and down with the machine. He becomes excited with the vibration. He unzips his overalls. No floor will get me up here!","Hey Meg, can I use your phone?"
"Respond as MEG from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Hey Meg, can I use your phone?","Why? So you can call Connie Demico? Chris, I can't let you see her anymore!"
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Hey Meg, can I use your phone?","Why? So you can call Connie Demico? Chris, I can't let you see her anymore!"
"Respond as CHRIS from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Why? So you can call Connie Demico? Chris, I can't let you see her anymore!","Why not?"
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Why? So you can call Connie Demico? Chris, I can't let you see her anymore!","Why not?"
"Respond as MEG from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Why not?","She's using you. She doesn't care about you at all."
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Why not?","She's using you. She doesn't care about you at all."
"Respond as CHRIS from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. She's using you. She doesn't care about you at all.","No way. She wouldn't use me."
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. She's using you. She doesn't care about you at all.","No way. She wouldn't use me."
"Respond as MEG from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. No way. She wouldn't use me.","She is, Chris! She's using you to get back at her ex boyfriend!"
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. No way. She wouldn't use me.","She is, Chris! She's using you to get back at her ex boyfriend!"
"Respond as CHRIS from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. She is, Chris! She's using you to get back at her ex boyfriend!","Hmmm.. Now that I think about it..."
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. She is, Chris! She's using you to get back at her ex boyfriend!","Hmmm.. Now that I think about it..."
"Respond as CONNIE from ""Family Guy"" would.","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Hmmm.. Now that I think about it...","Oh my gosh! Here comes my ex boyfriend!"
"Describe what happens next in ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Hmmm.. Now that I think about it...","Chris and Connie are shopping together."
"Continue the conversation in the style of ""Family Guy"".","Chris enters Meg's bedroom, where Meg is lying on her bed crying her eyes out. Hmmm.. Now that I think about it...","Oh my gosh! Here comes my ex boyfriend!"
"Respond as CHRIS from ""Family Guy"" would.","Chris and Connie are shopping together. Oh my gosh! Here comes my ex boyfriend!,Who cares-"
"Continue the conversation in the style of ""Family Guy"".","Chris and Connie are shopping together. Oh my gosh! Here comes my ex boyfriend!,Who cares-"
"Respond as CONNIE from ""Family Guy"" would.","Chris and Connie are shopping together. Who cares-,nan"
"Describe what happens next in ""Family Guy"".","Chris and Connie are shopping together. Who cares-,Connie grabs Chris's neck and pulls him in. They make out as Connie's ex boyfriend passes. Connie pulls away. Her ex didn't even notice."
"Respond as CHRIS from ""Family Guy"" would.","Connie grabs Chris's neck and pulls him in. They make out as Connie's ex boyfriend passes. Connie pulls away. Her ex didn't even notice. Who cares-,I disagree."
"Continue the conversation in the style of ""Family Guy"".","Connie grabs Chris's neck and pulls him in. They make out as Connie's ex boyfriend passes. Connie pulls away. Her ex didn't even notice. Who cares-,I disagree."
"Respond as CONNIE from ""Family Guy"" would.","Connie grabs Chris's neck and pulls him in. They make out as Connie's ex boyfriend passes. Connie pulls away. Her ex didn't even notice. I disagree.,nan"
"Describe what happens next in ""Family Guy"".","Connie grabs Chris's neck and pulls him in. They make out as Connie's ex boyfriend passes. Connie pulls away. Her ex didn't even notice. I disagree.,Connie stares at Chris's crotch. Her eyes grow wide."
"Respond as CHRIS from ""Family Guy"" would.","Connie stares at Chris's crotch. Her eyes grow wide. I disagree.,I guess it was never meant to be. She was hard to keep up with anyway."
"Describe what happens next in ""Family Guy"".","Connie stares at Chris's crotch. Her eyes grow wide. I disagree.,Meg sighs at Chris."
"Continue the conversation in the style of ""Family Guy"".","Connie stares at Chris's crotch. Her eyes grow wide. I disagree.,I guess it was never meant to be. She was hard to keep up with anyway."
"Respond as MEG from ""Family Guy"" would.",Meg sighs at Chris. I guess it was never meant to be. She was hard to keep up with anyway.,"I'm sorry, Chris."
"Continue the conversation in the style of ""Family Guy"".",Meg sighs at Chris. I guess it was never meant to be. She was hard to keep up with anyway.,"I'm sorry, Chris."
"Respond as CHRIS from ""Family Guy"" would.","Meg sighs at Chris. I'm sorry, Chris.","That's okay, Meg. I'm gonna go check on Stewie. He's been acting really weird lately."
"Continue the conversation in the style of ""Family Guy"".","Meg sighs at Chris. I'm sorry, Chris.","That's okay, Meg. I'm gonna go check on Stewie. He's been acting really weird lately."
"Describe what happens next in ""Family Guy"".","Meg sighs at Chris. That's okay, Meg. I'm gonna go check on Stewie. He's been acting really weird lately.","Suddenly, the floor begins shaking. ANOTHER EARTHQUAKE! The floor splits in two as pieces of wood begin falling down on the siblings."
"Respond as STEWIE from ""Family Guy"" would.","Suddenly, the floor begins shaking. ANOTHER EARTHQUAKE! The floor splits in two as pieces of wood begin falling down on the siblings. That's okay, Meg. I'm gonna go check on Stewie. He's been acting really weird lately.","Oh, God! THE GAME!"
"Describe what happens next in ""Family Guy"".","Suddenly, the floor begins shaking. ANOTHER EARTHQUAKE! The floor splits in two as pieces of wood begin falling down on the siblings. That's okay, Meg. I'm gonna go check on Stewie. He's been acting really weird lately.","Stewie gasps as his bedroom floor begins splitting down the middle. Stewie is safe. But something's wrong. Stewie sees a JUMANJI game dangling off of the edge of the large crack in the floor. He moves the machine down, quickly grabbing it."
"Continue the conversation in the style of ""Family Guy"".","Suddenly, the floor begins shaking. ANOTHER EARTHQUAKE! The floor splits in two as pieces of wood begin falling down on the siblings. That's okay, Meg. I'm gonna go check on Stewie. He's been acting really weird lately.","Oh, God! THE GAME!"
"Respond as STEWIE from ""Family Guy"" would.","Stewie gasps as his bedroom floor begins splitting down the middle. Stewie is safe. But something's wrong. Stewie sees a JUMANJI game dangling off of the edge of the large crack in the floor. He moves the machine down, quickly grabbing it. Oh, God! THE GAME!","RUPERT!"
"Describe what happens next in ""Family Guy"".","Stewie gasps as his bedroom floor begins splitting down the middle. Stewie is safe. But something's wrong. Stewie sees a JUMANJI game dangling off of the edge of the large crack in the floor. He moves the machine down, quickly grabbing it. Oh, God! THE GAME!","He suddenly notices RUPERT, his beloved gay Teddy Bear, dangling off of the edge of the crack as well."
"Continue the conversation in the style of ""Family Guy"".","Stewie gasps as his bedroom floor begins splitting down the middle. Stewie is safe. But something's wrong. Stewie sees a JUMANJI game dangling off of the edge of the large crack in the floor. He moves the machine down, quickly grabbing it. Oh, God! THE GAME!","RUPERT!"
"Respond as STEWIE from ""Family Guy"" would.","He suddenly notices RUPERT, his beloved gay Teddy Bear, dangling off of the edge of the crack as well. RUPERT!","nan"
"Describe what happens next in ""Family Guy"".","He suddenly notices RUPERT, his beloved gay Teddy Bear, dangling off of the edge of the crack as well. RUPERT!","He moves his machine towards Rupert, but it won't fit in the crack."
"Respond as STEWIE from ""Family Guy"" would.","He moves his machine towards Rupert, but it won't fit in the crack. RUPERT!","Don't worry, Rupert! I'm coming!"
"Describe what happens next in ""Family Guy"".","He moves his machine towards Rupert, but it won't fit in the crack. RUPERT!","Stewie jumps out of his machine, falling into the crack and grabbing Rupert before he falls."
"Continue the conversation in the style of ""Family Guy"".","He moves his machine towards Rupert, but it won't fit in the crack. RUPERT!","Don't worry, Rupert! I'm coming!"
"Respond as LOIS from ""Family Guy"" would.","Stewie jumps out of his machine, falling into the crack and grabbing Rupert before he falls. Don't worry, Rupert! I'm coming!","OH MY GOD! THE KIDS!!"
"Describe what happens next in ""Family Guy"".","Stewie jumps out of his machine, falling into the crack and grabbing Rupert before he falls. Don't worry, Rupert! I'm coming!","Lois, Peter, and Brian are panicking as the floor below them shakes violently."
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps out of his machine, falling into the crack and grabbing Rupert before he falls. Don't worry, Rupert! I'm coming!","OH MY GOD! THE KIDS!!"
"Respond as PETER from ""Family Guy"" would.","Lois, Peter, and Brian are panicking as the floor below them shakes violently. OH MY GOD! THE KIDS!!","nan"
"Describe what happens next in ""Family Guy"".","Lois, Peter, and Brian are panicking as the floor below them shakes violently. OH MY GOD! THE KIDS!!","Peter gasps while Lois and Brian run up the stairs."
"Continue the conversation in the style of ""Family Guy"".",Peter gasps while Lois and Brian run up the stairs. OH MY GOD! THE KIDS!!,"Stewie, Chris, and Meg run into the hallway. Lois grabs her kids and holds all of them in her arms, as well as Brian. The earthquake stops."
"Respond as LOIS from ""Family Guy"" would.","Peter gasps while Lois and Brian run up the stairs. Stewie, Chris, and Meg run into the hallway. Lois grabs her kids and holds all of them in her arms, as well as Brian. The earthquake stops.","Is everybody okay?"
"Continue the conversation in the style of ""Family Guy"".","Peter gasps while Lois and Brian run up the stairs. Stewie, Chris, and Meg run into the hallway. Lois grabs her kids and holds all of them in her arms, as well as Brian. The earthquake stops.","Is everybody okay?"
"Respond as BRIAN from ""Family Guy"" would.","Peter gasps while Lois and Brian run up the stairs. Is everybody okay?,Yeah. I think so."
"Continue the conversation in the style of ""Family Guy"".","Peter gasps while Lois and Brian run up the stairs. Is everybody okay?,Yeah. I think so."
"Respond as STEWIE from ""Family Guy"" would.",Peter gasps while Lois and Brian run up the stairs. Yeah. I think so.,"I told you the floor would strike again! And I was prepared! From this day forward, I shall not suffer from the floor's tendencies to kill! Victory is mine!"
"Continue the conversation in the style of ""Family Guy"".",Peter gasps while Lois and Brian run up the stairs. Yeah. I think so.,"I told you the floor would strike again! And I was prepared! From this day forward, I shall not suffer from the floor's tendencies to kill! Victory is mine!"
"Respond as LOIS from ""Family Guy"" would.","Peter gasps while Lois and Brian run up the stairs. I told you the floor would strike again! And I was prepared! From this day forward, I shall not suffer from the floor's tendencies to kill! Victory is mine!","Come on, kids. Let's go downstairs before the floor caves in."
"Describe what happens next in ""Family Guy"".","Peter gasps while Lois and Brian run up the stairs. I told you the floor would strike again! And I was prepared! From this day forward, I shall not suffer from the floor's tendencies to kill! Victory is mine!","Everybody walks down the"
"Continue the conversation in the style of ""Family Guy"".","Peter gasps while Lois and Brian run up the stairs. I told you the floor would strike again! And I was prepared! From this day forward, I shall not suffer from the floor's tendencies to kill! Victory is mine!","Come on, kids. Let's go downstairs before the floor caves in."
"Continue the conversation in the style of ""Family Guy"".","Everybody walks down the Come on, kids. Let's go downstairs before the floor caves in.","Meg is in the front. Meg suddenly steps in the bear trap that Peter had set on the steps earlier. She falls down the stairs. She doesn't move."
"Respond as PETER from ""Family Guy"" would.","Everybody walks down the Meg is in the front. Meg suddenly steps in the bear trap that Peter had set on the steps earlier. She falls down the stairs. She doesn't move.,OH MY GOD!! Can you believe that bear trap didn't move all that time?"
"Describe what happens next in ""Family Guy"".","Everybody walks down the Meg is in the front. Meg suddenly steps in the bear trap that Peter had set on the steps earlier. She falls down the stairs. She doesn't move.,Peter sees her body on the floor with the bear trap stuck to her foot."
"Continue the conversation in the style of ""Family Guy"".","Everybody walks down the Meg is in the front. Meg suddenly steps in the bear trap that Peter had set on the steps earlier. She falls down the stairs. She doesn't move.,OH MY GOD!! Can you believe that bear trap didn't move all that time?"
